	HUMAN_CCR5	HUMAN_CCR7	HUMAN_CD14	HUMAN_CD19	HUMAN_CD34	HUMAN_CD3D	HUMAN_CD3E	HUMAN_CD3EAP	HUMAN_CD3G	HUMAN_CD4	HUMAN_CD8A	HUMAN_CD8B	HUMAN_FCGR3A	HUMAN_FCGR3B	HUMAN_ITGAX	HUMAN_MME	HUMAN_NCAM1	HUMAN_PTPRC
ADT_marker	CCR5	CCR7	CD14	CD19	CD34	CD3	CD3	CD3	CD3	CD4	CD8	CD8	CD16	CD16	CD11c	CD10	CD56	CD45RA
correlation	0.031343299978	0.107904093831	0.405775235654	0.179581209955	0.171029338554	0.623262634922	0.63536511124	0.0127207329082	0.484326525949	0.144951267568	0.29397115375	0.239404345443	0.490523923503	0.0876332169441	0.210787453853	0.0291755187887	0.134199978847	0.0525272456247
pvalue	0.00361634327554	9.7253502445e-24	0.0	2.26243391308e-63	1.45445627829e-57	0.0	0.0	0.237716325941	0.0	1.11284404548e-41	2.41735025939e-171	1.37901144746e-112	0.0	3.66038269561e-16	3.86795150384e-87	0.00675916205648	6.3932469655e-36	1.06814910826e-06
